Find,Replace
Correspondence,Corro
Construction,Constr
Contract,Contr
Subcontractor,Subcontr
Agreement,Agmt
Documents,Docs
Document,Doc
Specifications,Specs
Specification,Spec
Drawings,Dwgs
Photographs,Photos
Variations,Vars
Variation,Var
Payment Claim,Pmt Claim
Payment Schedule,Pmt Sched
Adjudication Application,Adj App
Adjudication Response,Adj Resp
Adjudication,Adj
Statement of Claim,SOC
Affidavit,Aff
Particulars,Parts
Extension of Time,EOT
Practical Completion,Prac Comp
Defects Liability Period,DLP
Request for Information,RFI
Without Prejudice,WP
Memorandum,Memo
Management,Mgmt
Department,Dept
Building,Bldg
Proprietary Limited,Pty Ltd
